tweets,date,city,user_location,id,link,texto_limpio,links,hashtags,mentions,emojis
"2⃣ @mayoloangelica, nueva @mincultura: tiene cercanía con casi toda la clase política y empresarial del Valle, muy golpeado por el paro.

Allí @IvanDuque quemó un fusible disponible: su amigo @FelipeNaranja, que llevaba apenas cinco meses en el cargo.

https://t.co/j7ykt6iGRu",2021-05-26 20:11:39,Bogotá,Bogotá,1397646636164259847,https://twitter.com/i/web/stuatus/1397646636164259847,"2⃣  nueva  tiene cercanía con casi toda la clase política y empresarial del Valle, muy golpeado por el paro.

Allí  quemó un fusible disponible: su amigo  que llevaba apenas cinco meses en el cargo.

",['https://t.co/j7ykt6iGRu'],[],"['@mayoloangelica,', '@mincultura:', '@IvanDuque', '@FelipeNaranja,']",[]
"@GNavasTalero Señor Representante, la protesta social de los ciudadanos de cali de camisas balncas es de paracos según usted, entonces, ¿La del comité del paro es guerrillera?. Si no quiere que lo estigmaticen no lo haga usted.  Para exigir respeto también hay que darlo.",2021-05-26 20:10:38,Bogotá,Bogotá,1397646380278112256,https://twitter.com/i/web/stuatus/1397646380278112256," Señor Representante, la protesta social de los ciudadanos de cali de camisas balncas es de paracos según usted, entonces, ¿La del comité del paro es guerrillera?. Si no quiere que lo estigmaticen no lo haga usted.  Para exigir respeto también hay que darlo.",[],[],['@GNavasTalero'],[]
"#ENVIVO🔴Según la Defensoría, por lo menos 23 casos de violencia sexual se han denunciado desde el 28 de abril, cuando empezaron las protestas del paro nacional. Conversamos con tres expertas sobre las particularidades de esta violencia.
👉https://t.co/YYRZUtzGTi https://t.co/7o2zUzrTmW",2021-05-26 20:10:37,Bogotá,"Bogotá, Colombia",1397646374859063301,https://twitter.com/i/web/stuatus/1397646374859063301," la Defensoría, por lo menos 23 casos de violencia sexual se han denunciado desde el 28 de abril, cuando empezaron las protestas del paro nacional. Conversamos con tres expertas sobre las particularidades de esta violencia.
👉 ","['https://t.co/YYRZUtzGTi', 'https://t.co/7o2zUzrTmW']",['#ENVIVO🔴Según'],[],['👉']
La Policía capturó siete presuntos miembros de la 'Segunda Marquetalia' relacionados con vandalismo en Cali. Esto es lo que se sabe 👉 https://t.co/x30J8wX4Ue https://t.co/8niAr04Ggi,2021-05-26 20:10:31,Bogotá,"Bogotá, Colombia",1397646349940711424,https://twitter.com/i/web/stuatus/1397646349940711424,La Policía capturó siete presuntos miembros de la 'Segunda Marquetalia' relacionados con vandalismo en Cali. Esto es lo que se sabe 👉  ,"['https://t.co/x30J8wX4Ue', 'https://t.co/8niAr04Ggi']",[],[],['👉']
"@INFORMA42829W Este paro también es un lucha de clases, es hora de darse cuenta ya.",2021-05-26 20:09:40,Bogotá,Bogotá,1397646135112699911,https://twitter.com/i/web/stuatus/1397646135112699911," Este paro también es un lucha de clases, es hora de darse cuenta ya.",[],[],['@INFORMA42829W'],[]
"¿Tanta plata entra a la Guajira?
Qué forma tan absurda de robar, porque la gente allá la pasa muy mal.
Con o sin paro para la mayoría de los ciudadanos de ese departamento la miseria es pan de cada día. https://t.co/Q0ob8ricVG",2021-05-26 20:09:04,Bogotá,Bogotá,1397645984272994314,https://twitter.com/i/web/stuatus/1397645984272994314,"¿Tanta plata entra a la Guajira?
Qué forma tan absurda de robar, porque la gente allá la pasa muy mal.
Con o sin paro para la mayoría de los ciudadanos de ese departamento la miseria es pan de cada día. ",['https://t.co/Q0ob8ricVG'],[],[],[]
"En cuatro semanas del paro, @IvanDuque ya hizo tres enroques:

➡️Pasó el @MincomercioCo al @MinHacienda.
➡️Le dio a la @ViceColombia la @CancilleriaCol.
➡️Puso a su vice de @MinAgricultura como @ComisionadoPaz.

Una movida que ya había aplicado antes: https://t.co/j2dZ0rbdn1",2021-05-26 20:07:18,Bogotá,Bogotá,1397645541316730889,https://twitter.com/i/web/stuatus/1397645541316730889,"En cuatro semanas del paro,  ya hizo tres enroques:

➡️Pasó el  al 
➡️Le dio a la  la 
➡️Puso a su vice de  como 

Una movida que ya había aplicado antes: ",['https://t.co/j2dZ0rbdn1'],[],"['@IvanDuque', '@MincomercioCo', '@MinHacienda.', '@ViceColombia', '@CancilleriaCol.', '@MinAgricultura', '@ComisionadoPaz.']","['➡️', '➡️', '➡️']"
🔴 Hablemos de la violencia sexual denunciada en el paro nacional: https://t.co/ABYDpDJQ0o,2021-05-26 20:01:04,Bogotá,"Bogotá, Colombia",1397643971464245249,https://twitter.com/i/web/stuatus/1397643971464245249,🔴 Hablemos de la violencia sexual denunciada en el paro nacional: ,['https://t.co/ABYDpDJQ0o'],[],[],['🔴']
"@supershadai Ese grupo de congresistas son los que conforman el paro histórico,  es decir la M¡$£RIA HUM@N@",2021-05-26 20:00:43,Bogotá,Bogotá,1397643881957691392,https://twitter.com/i/web/stuatus/1397643881957691392," Ese grupo de congresistas son los que conforman el paro histórico,  es decir la M¡$£RIA HUM@N@",[],[],['@supershadai'],[]
"#NoticiasUno| Los 25 detenidos de Popayán no tienen que ver con hechos de vandalismos como aseguró Molano sino con otros delitos, dijo fiscal del caso
https://t.co/hdVB01OeSs",2021-05-26 20:00:00,Bogotá,"Bogotá, Colombia.",1397643704345645058,https://twitter.com/i/web/stuatus/1397643704345645058," Los 25 detenidos de Popayán no tienen que ver con hechos de vandalismos como aseguró Molano sino con otros delitos, dijo fiscal del caso
",['https://t.co/hdVB01OeSs'],['#NoticiasUno|'],[],[]
"@giroditalia @Eganbernal @danifmartinez96 @INEOSGrenadiers Los buenos colombianos, construyen, apoyan no destruyen ni vandalizan y menos se dejan manipular de los terroristas para pedir cambios que ellos mismos deberían dar , abajo los zánganos del paro que están acabando con Colombia",2021-05-26 19:59:39,Bogotá,bogota colombia,1397643616693231620,https://twitter.com/i/web/stuatus/1397643616693231620,"    Los buenos colombianos, construyen, apoyan no destruyen ni vandalizan y menos se dejan manipular de los terroristas para pedir cambios que ellos mismos deberían dar , abajo los zánganos del paro que están acabando con Colombia",[],[],"['@giroditalia', '@Eganbernal', '@danifmartinez96', '@INEOSGrenadiers']",[]
"Que tal la""honorable senadora"" @PaolaHolguin diciendo *dejen de estar llorando por un solo ojo* es una total burla para las víctimas oculares del paro por culpa de la policía. Hay que ser muy hijo de puta en la vida pero que más se le pide a una plasta de estás
#UribismoCriminal https://t.co/LSzVDohxSa",2021-05-26 19:59:27,Bogotá,Bogotá,1397643563916275724,https://twitter.com/i/web/stuatus/1397643563916275724,"Que tal la""honorable senadora""  diciendo *dejen de estar llorando por un solo ojo* es una total burla para las víctimas oculares del paro por culpa de la policía. Hay que ser muy hijo de puta en la vida pero que más se le pide a una plasta de estás
 ",['https://t.co/LSzVDohxSa'],['#UribismoCriminal'],['@PaolaHolguin'],[]
"Colombia no está en crisis por el paro, Colombia está en paro por la crisis.",2021-05-26 19:58:51,Bogotá,Bogotá,1397643415802757121,https://twitter.com/i/web/stuatus/1397643415802757121,"Colombia no está en crisis por el paro, Colombia está en paro por la crisis.",[],[],[],[]
